Pressure [bar],N2 loading [mol/kg],Enthalpy of adsorption [kJ/mol]
0.2,0.0673594346754,-11.869949198906
0.8,0.26720205832305,-11.743960656174
1.4,0.45103789051515,-11.754232288211
2.0,0.65219812046955,-11.622012255452
2.6,0.8230874081121,-11.7462854506
3.2,0.9624646533087,-11.54910736408
3.8,1.1364226885431,-11.513573038005
4.4,1.277882601773,-11.527740307467
5.0,1.4981863762616,-11.196734179741
5.6,1.6462258203393,-11.180308381765
6.2,1.8239326580335,-11.513634232122
6.8,1.9475156289209,-11.420623415064
7.4,2.119220982405,-11.39437646022
8.0,2.2588532481771,-11.437870594398
8.6,2.4089583589164,-11.475013261497
9.2,2.5632033036646,-11.4758061244
9.8,2.6848651195499,-11.511975838301
10.2,2.8028291370903,-11.565168907402
