Pressure [bar],CO2 loading [mol/kg],Enthalpy of adsorption [kJ/mol]
0.2,1.9434680662426,-27.490530376726
0.40931195210966,3.5759317998198,-26.730316031029
0.66812706203005,5.8441209387255,-27.604166770597
0.99541169788903,7.3057005297022,-26.985559352473
1.4207715964311,8.7139067231156,-27.573007574435
1.9927763839513,9.9195206152602,-27.94730895546
2.5927763839513,10.871829753128,-27.424533353288
3.1927763839513,11.416413515593,-28.757863527142
3.7927763839513,11.94927195463,-27.810540104595
4.3927763839513,12.446611075701,-29.553028609912
4.9927763839513,12.606010238253,-29.133810996649
5.5927763839513,12.952293545506,-28.768661711274
6.1927763839513,13.472379450678,-29.691725823751
6.7927763839513,13.445512494362,-29.859627430928
7.3927763839513,13.540980318051,-27.663149667839
7.9927763839513,13.75002755579,-30.19407772318
8.5927763839513,14.207246499921,-29.82397013461
9.1927763839513,14.425426786068,-30.674140247603
9.7927763839513,14.093632751103,-30.170347376385
10.2,14.214250792685,-29.782171809134
